Formula,Temperature,Heat_Capacity
B2Mg1,1100,74.078
B2Mg1,1000,71.714
B2Mg1,900,69.162
B2Mg1,800,66.526
B2Mg1,700,64.015
B2Mg1,600,61.379
B2Mg1,500,58.409
B2Mg1,400,54.392
B2Mg1,300,47.865
B2Mg1,298,47.823
Be1F2,1200,87.529
Be1F2,1100,84.182
Be1F2,1000,80.835
Be1F2,900,77.488
Be1F2,825,74.977
Be1F2,800,74.14
Be1F2,700,70.793
Be1F2,600,67.446
Be1F2,500,76.048
Be1F2,500,76.048
Be1F2,500,64.099
Be1F2,400,62.522
Be1F2,300,52.028
Be1F2,298,51.819
B1H4Na1,1900,133.679
B1H4Na1,1800,133.553
B1H4Na1,1700,133.511
B1H4Na1,1600,133.428
B1H4Na1,1500,133.302
B1H4Na1,1400,133.135
B1H4Na1,1300,132.675
B1H4Na1,1200,131.754
B1H4Na1,1100,130.039
B1H4Na1,1000,127.445
B1H4Na1,900,124.265
B1H4Na1,800,120.248
B1H4Na1,700,115.269
B1H4Na1,600,108.617
B1H4Na1,500,101.797
B1H4Na1,400,94.558
B1H4Na1,300,86.642
B1H4Na1,298,86.483
Br2Ca1,1400,103.387
Br2Ca1,1300,99.412
Br2Ca1,1200,95.563
Br2Ca1,1100,91.922
Br2Ca1,1015,89.036
Br2Ca1,1000,88.617
Br2Ca1,900,85.856
Br2Ca1,800,83.471
Br2Ca1,700,81.63
Br2Ca1,600,80.5
Br2Ca1,500,79.454
Br2Ca1,400,77.99
Br2Ca1,300,75.124
Br2Ca1,298,75.04
Al1N1,2900,51.845
Al1N1,2800,51.807
Al1N1,2700,51.765
Al1N1,2600,51.718
Al1N1,2500,51.666
Al1N1,2400,51.609
Al1N1,2300,51.543
Al1N1,2200,51.469
Al1N1,2100,51.385
Al1N1,2000,51.29
Al1N1,1900,51.18
Al1N1,1800,51.052
Al1N1,1700,50.903
Al1N1,1600,50.728
Al1N1,1500,50.521
Al1N1,1400,50.272
Al1N1,1300,49.97
Al1N1,1200,49.598
Al1N1,1100,49.136
Al1N1,1000,48.55
Al1N1,900,47.792
Al1N1,800,46.791
Al1N1,700,45.434
Al1N1,600,43.538
Al1N1,500,40.799
Al1N1,400,36.692
Al1N1,300,30.254
Al1N1,298,30.097
Al1Cl6Na3,298,244.136
Al1Cl6Na3,1900,334.825
Al1Cl6Na3,1800,332.21
Al1Cl6Na3,1700,329.385
Al1Cl6Na3,1600,326.352
Al1Cl6Na3,1500,322.796
Al1Cl6Na3,1400,318.821
Al1Cl6Na3,1300,314.741
Al1Cl6Na3,1200,310.453
Al1Cl6Na3,1100,305.72
Al1Cl6Na3,1000,300.62
Al1Cl6Na3,900,294.972
Al1Cl6Na3,800,288.696
Al1Cl6Na3,700,281.165
Al1Cl6Na3,600,273.006
Al1Cl6Na3,500,264.01
Al1Cl6Na3,400,254.387
Al1Cl6Na3,300,244.513
Ba1H2O2,900,134.892
Ba1H2O2,800,130.834
Ba1H2O2,700,126.775
Ba1H2O2,681.15,126.022
Ba1H2O2,600,122.717
Ba1H2O2,500,118.658
Ba1H2O2,400,112.633
Ba1H2O2,300,101.797
Ba1H2O2,298,101.629
Al1Br3,298,100.578
Al1Br3,1400,124.934
Al1Br3,1300,124.851
Al1Br3,1200,124.767
Al1Br3,1100,124.683
Al1Br3,1000,124.6
Al1Br3,900,124.516
Al1Br3,800,124.432
Al1Br3,700,124.348
Al1Br3,600,124.265
Al1Br3,500,123.846
Al1Br3,400,117.78
Al1Br3,370.6,113.078
Al1Br3,300,100.816
Br3Zr1,1900,106.566
Br3Zr1,1800,106.525
Br3Zr1,1700,106.483
Br3Zr1,1600,106.441
Br3Zr1,1500,106.399
Br3Zr1,1400,106.357
Br3Zr1,1300,106.315
Br3Zr1,1200,106.232
Br3Zr1,1100,106.148
Br3Zr1,1000,106.064
Br3Zr1,900,105.855
Br3Zr1,800,105.437
Br3Zr1,700,105.018
Br3Zr1,600,104.6
Br3Zr1,500,103.763
Br3Zr1,400,102.508
Br3Zr1,300,99.562
Br3Zr1,298,99.483
Br2Ti1,1400,91.32
Br2Ti1,1300,90.174
Br2Ti1,1200,89.027
Br2Ti1,1100,87.881
Br2Ti1,1000,86.734
Br2Ti1,900,85.588
Br2Ti1,800,84.441
Br2Ti1,700,83.295
Br2Ti1,600,82.149
Br2Ti1,500,81.002
Br2Ti1,400,79.856
Br2Ti1,300,78.709
Br2Ti1,298,78.688
B1Ti1,3900,55.94
B1Ti1,3800,55.806
B1Ti1,3700,55.672
B1Ti1,3600,55.538
B1Ti1,3500,55.405
B1Ti1,3400,55.271
B1Ti1,3300,55.137
B1Ti1,3200,55.003
B1Ti1,3100,54.869
B1Ti1,3000,54.735
B1Ti1,2900,54.601
B1Ti1,2800,54.467
B1Ti1,2700,54.333
B1Ti1,2600,54.2
B1Ti1,2500,54.066
B1Ti1,2400,53.932
B1Ti1,2300,53.798
B1Ti1,2200,53.664
B1Ti1,2100,53.53
B1Ti1,2000,53.396
B1Ti1,1900,53.262
B1Ti1,1800,53.128
B1Ti1,1700,52.995
B1Ti1,1600,52.861
B1Ti1,1500,52.727
B1Ti1,1400,52.593
B1Ti1,1300,52.459
B1Ti1,1200,52.325
B1Ti1,1100,52.191
B1Ti1,1000,51.915
B1Ti1,900,51.488
B1Ti1,800,50.911
B1Ti1,700,50.124
B1Ti1,600,48.568
B1Ti1,500,45.714
B1Ti1,400,40.334
B1Ti1,300,29.916
B1Ti1,298,29.673
Be2O4Si1,2900,194.589
Be2O4Si1,2800,193.702
Be2O4Si1,2700,192.815
Be2O4Si1,2600,191.928
Be2O4Si1,2500,191.041
Be2O4Si1,2400,190.154
Be2O4Si1,2300,189.267
Be2O4Si1,2200,188.38
Be2O4Si1,2100,187.493
Be2O4Si1,2000,186.606
Be2O4Si1,1900,185.686
Be2O4Si1,1800,184.749
Be2O4Si1,1700,183.803
Be2O4Si1,1600,182.849
Be2O4Si1,1500,181.887
Be2O4Si1,1400,180.916
Be2O4Si1,1300,179.636
Be2O4Si1,1200,178.197
Be2O4Si1,1100,176.356
Be2O4Si1,1000,174.054
Be2O4Si1,900,170.749
Be2O4Si1,800,166.021
Be2O4Si1,700,158.866
Be2O4Si1,600,149.16
Be2O4Si1,500,136.942
Be2O4Si1,400,120.75
Be2O4Si1,300,96.098
Be2O4Si1,298,95.563
Br2Pb1,900,101.621
Br2Pb1,800,97.341
Br2Pb1,700,93.061
Br2Pb1,600,88.784
Br2Pb1,500,84.684
Br2Pb1,400,81.253
Br2Pb1,300,79.613
Br2Pb1,298,79.578
Al1,298,24.209
Al1,1100,36.722
Al1,1000,34.358
Al1,933.45,32.959
Al1,900,32.308
Al1,800,30.562
Al1,700,29.1
Al1,600,27.886
Al1,500,26.842
Al1,450,26.335
Al1,400,25.784
Al1,350,25.113
Al1,300,24.247
Br2Hg2,1400,125.143
Br2Hg2,1300,124.209
Br2Hg2,1200,123.47
Br2Hg2,1100,122.539
Br2Hg2,1000,121.545
Br2Hg2,900,120.416
Br2Hg2,800,119.118
Br2Hg2,700,117.529
Br2Hg2,600,115.604
Br2Hg2,500,113.052
Br2Hg2,400,109.621
Br2Hg2,300,104.703
Br2Hg2,298,104.6
B1H3O3,298,81.337
B1H3O3,1400,181.279
B1H3O3,1300,177.653
B1H3O3,1200,173.218
B1H3O3,1100,167.974
B1H3O3,1000,161.921
B1H3O3,900,155.017
B1H3O3,800,147.277
B1H3O3,700,137.915
B1H3O3,600,127.194
B1H3O3,500,114.642
B1H3O3,400,100.207
B1H3O3,300,81.755
Br3Ti1,1400,172.015
Br3Ti1,1300,168.755
Br3Ti1,1200,165.111
Br3Ti1,1100,161.084
Br3Ti1,1000,156.673
Br3Ti1,900,151.879
Br3Ti1,800,147.277
Br3Ti1,700,137.21
Br3Ti1,600,125.507
Br3Ti1,500,114.709
Br3Ti1,400,105.818
Br3Ti1,300,101.776
Br3Ti1,298,101.705
C1Cu1N1,900,80.249
C1Cu1N1,800,78.032
C1Cu1N1,700,75.689
C1Cu1N1,600,73.136
C1Cu1N1,500,70.249
C1Cu1N1,400,66.735
C1Cu1N1,300,62.195
C1Cu1N1,298,61.024
B1,298,11.315
B1,2700,31.778
B1,2600,31.457
B1,2500,31.133
B1,2400,30.806
B1,2350,30.641
B1,2300,30.475
B1,2200,30.14
B1,2100,29.799
B1,2000,29.452
B1,1900,29.097
B1,1800,28.732
B1,1700,28.356
B1,1600,27.966
B1,1500,27.557
B1,1400,27.125
B1,1300,26.663
B1,1200,26.161
B1,1100,25.606
B1,1000,24.978
B1,900,24.245
B1,800,23.361
B1,700,22.249
B1,600,20.778
B1,500,18.722
B1,450,17.361
B1,400,15.693
B1,350,13.654
B1,300,11.405
Al1F6Na3,298,215.727
Al1F6Na3,1100,332.461
Al1F6Na3,1000,318.582
Al1F6Na3,900,304.691
Al1F6Na3,836,295.809
Al1F6Na3,800,290.78
Al1F6Na3,700,276.822
Al1F6Na3,600,262.793
Al1F6Na3,500,248.634
Al1F6Na3,400,236.379
Al1F6Na3,300,216.212
Ca1H2O2,900,116.022
Ca1H2O2,800,113.512
Ca1H2O2,700,110.709
Ca1H2O2,600,107.445
Ca1H2O2,500,103.931
Ca1H2O2,400,98.408
Ca1H2O2,300,87.78
Ca1H2O2,298,87.487
B2Be3O6,298,139.746
B2Be3O6,2900,332.754
B2Be3O6,2800,330.829
B2Be3O6,2700,328.904
B2Be3O6,2600,327.105
B2Be3O6,2500,325.18
B2Be3O6,2400,323.423
B2Be3O6,2300,321.582
B2Be3O6,2200,319.658
B2Be3O6,2100,317.649
B2Be3O6,2000,315.474
B2Be3O6,1900,313.382
B2Be3O6,1800,311.206
B2Be3O6,1700,308.905
B2Be3O6,1600,306.729
B2Be3O6,1500,304.553
B2Be3O6,1400,302.21
B2Be3O6,1300,299.574
B2Be3O6,1200,296.395
B2Be3O6,1100,292.211
B2Be3O6,1000,286.269
B2Be3O6,900,277.567
B2Be3O6,800,264.805
B2Be3O6,700,247.567
B2Be3O6,600,226.605
B2Be3O6,500,202.84
B2Be3O6,400,175.017
B2Be3O6,300,140.415
Al1Cl4Na1,298,154.975
Al1Cl4Na1,900,197.276
Al1Cl4Na1,800,193.51
Al1Cl4Na1,700,189.117
Al1Cl4Na1,600,182.422
Al1Cl4Na1,500,174.054
Al1Cl4Na1,400,164.808
Al1Cl4Na1,300,154.808
Al1Cl6K3,298,248.906
Al1Cl6K3,1900,341.362
Al1Cl6K3,1800,339.322
Al1Cl6K3,1700,336.969
Al1Cl6K3,1600,334.302
Al1Cl6K3,1500,331.32
Al1Cl6K3,1400,328.026
Al1Cl6K3,1300,324.103
Al1Cl6K3,1200,319.658
Al1Cl6K3,1100,314.532
Al1Cl6K3,1000,308.779
Al1Cl6K3,900,302.88
Al1Cl6K3,800,295.809
Al1Cl6K3,700,287.859
Al1Cl6K3,600,279.491
Al1Cl6K3,500,269.659
Al1Cl6K3,400,259.157
Al1Cl6K3,300,249.283
C0.98Nb1,2900,62.174
C0.98Nb1,2800,61.672
C0.98Nb1,2700,61.17
C0.98Nb1,2600,60.668
C0.98Nb1,2500,60.166
C0.98Nb1,2400,59.664
C0.98Nb1,2300,59.162
C0.98Nb1,2200,58.66
C0.98Nb1,2100,58.158
C0.98Nb1,2000,57.656
C0.98Nb1,1900,57.153
C0.98Nb1,1800,56.651
C0.98Nb1,1700,56.134
C0.98Nb1,1600,55.605
C0.98Nb1,1500,55.061
C0.98Nb1,1400,54.504
C0.98Nb1,1300,53.932
C0.98Nb1,1200,53.304
C0.98Nb1,1100,52.635
C0.98Nb1,1000,51.923
C0.98Nb1,900,51.087
C0.98Nb1,800,50.124
C0.98Nb1,700,48.911
C0.98Nb1,600,47.363
C0.98Nb1,500,45.145
C0.98Nb1,400,41.882
C0.98Nb1,300,36.38
C0.98Nb1,298,36.233
Br2Hg1,1400,107.587
Br2Hg1,1300,104.659
Br2Hg1,1200,101.73
Br2Hg1,1100,98.801
Br2Hg1,1000,95.872
Br2Hg1,900,92.943
Br2Hg1,800,90.015
Br2Hg1,700,87.086
Br2Hg1,600,84.157
Br2Hg1,500,81.206
Br2Hg1,400,78.321
Br2Hg1,300,75.366
Br2Hg1,298,75.312
Al1Cl1O1,298,56.902
Al1Cl1O1,2900,83.052
Al1Cl1O1,2800,83.052
Al1Cl1O1,2700,83.052
Al1Cl1O1,2600,83.052
Al1Cl1O1,2500,83.052
Al1Cl1O1,2400,83.052
Al1Cl1O1,2300,83.036
Al1Cl1O1,2200,83.011
Al1Cl1O1,2100,82.958
Al1Cl1O1,2000,82.885
Al1Cl1O1,1900,82.77
Al1Cl1O1,1800,82.62
Al1Cl1O1,1700,82.435
Al1Cl1O1,1600,82.216
Al1Cl1O1,1500,81.961
Al1Cl1O1,1400,81.672
Al1Cl1O1,1300,81.243
Al1Cl1O1,1200,80.709
Al1Cl1O1,1100,80.04
Al1Cl1O1,1000,79.245
Al1Cl1O1,900,78.168
Al1Cl1O1,800,76.86
Al1Cl1O1,700,74.977
Al1Cl1O1,600,72.634
Al1Cl1O1,500,69.203
Al1Cl1O1,400,64.308
Al1Cl1O1,300,57.112
Cl1H4N1O4,1400,347.066
Cl1H4N1O4,1300,333.816
Cl1H4N1O4,1200,317.984
Cl1H4N1O4,1100,299.569
Cl1H4N1O4,1000,278.571
Cl1H4N1O4,900,258.456
Cl1H4N1O4,800,238.07
Cl1H4N1O4,700,217.819
Cl1H4N1O4,600,197.568
Cl1H4N1O4,513.15,171.628
Cl1H4N1O4,513.15,179.996
Cl1H4N1O4,500,168.95
Cl1H4N1O4,400,148.699
Cl1H4N1O4,300,128.449
Cl1H4N1O4,298,128.072
Be1F4Li2,1400,299.554
Be1F4Li2,1300,284.64
Be1F4Li2,1200,269.729
Be1F4Li2,1100,254.819
Be1F4Li2,1000,239.911
Be1F4Li2,900,225.004
Be1F4Li2,800,210.1
Be1F4Li2,732.2,199.995
Be1F4Li2,700,195.184
Be1F4Li2,600,180.247
Be1F4Li2,500,165.352
Be1F4Li2,400,150.457
Be1F4Li2,300,135.52
Be1F4Li2,298,135.269
C1Mg1O3,900,127.612
C1Mg1O3,800,122.256
C1Mg1O3,700,116.232
C1Mg1O3,600,109.035
C1Mg1O3,500,100.061
C1Mg1O3,400,89.855
C1Mg1O3,300,76.501
C1Mg1O3,298,76.21
Br1H4N1,1400,174.264
Br1H4N1,1300,168.127
Br1H4N1,1200,161.502
Br1H4N1,1100,154.102
Br1H4N1,1000,146.022
Br1H4N1,900,136.817
Br1H4N1,800,126.775
Br1H4N1,700,115.06
Br1H4N1,600,102.424
Br1H4N1,500,87.195
Br1H4N1,411,92.844
Br1H4N1,411,72.867
Br1H4N1,400,92.717
Br1H4N1,300,88.893
Br1H4N1,298,88.676
Ca1I2,1400,98.91
Ca1I2,1300,96.943
Ca1I2,1200,94.977
Ca1I2,1100,93
Ca1I2,1052,92.048
Ca1I2,1000,91.002
Ca1I2,900,89.036
Ca1I2,800,87.069
Ca1I2,700,85.103
Ca1I2,600,83.136
Ca1I2,500,81.17
Ca1I2,400,79.161
Ca1I2,300,77.195
Ca1I2,298,77.157
Al1F6Li3,298,202.506
Al1F6Li3,1500,357.732
Al1F6Li3,1400,347.272
Al1F6Li3,1300,336.812
Al1F6Li3,1200,326.352
Al1F6Li3,1100,315.892
Al1F6Li3,1058,311.499
Al1F6Li3,1000,305.432
Al1F6Li3,978,303.131
Al1F6Li3,978,303.131
Al1F6Li3,900,294.972
Al1F6Li3,848,289.533
Al1F6Li3,848,289.533
Al1F6Li3,800,284.512
Al1F6Li3,748,279.073
Al1F6Li3,748,279.073
Al1F6Li3,700,274.052
Al1F6Li3,600,262.295
Al1F6Li3,500,248.111
Al1F6Li3,400,229.869
Al1F6Li3,300,203.133
Br4Mo1,900,144.4
Br4Mo1,800,142.674
Br4Mo1,700,140.844
Br4Mo1,600,138.909
Br4Mo1,500,136.817
Br4Mo1,400,135.143
Br4Mo1,300,133.093
Br4Mo1,298,133.051
Ba1,298,28.096
Ba1,1400,39.066
Ba1,1300,39.066
Ba1,1200,39.066
Ba1,1100,39.066
Ba1,1000,39.066
Ba1,1000,39.066
Ba1,900,39.066
Ba1,800,39.066
Ba1,768.13,48.103
Ba1,768.13,39.066
Ba1,700,42.363
Ba1,600,33.941
Ba1,582.53,54.4
Ba1,582.53,32.468
Ba1,500,43.744
Ba1,450,38.031
Ba1,400,33.229
Ba1,350,29.898
Ba1,300,28.142
Br4Ti1,1400,133.779
Br4Ti1,1300,133.779
Br4Ti1,1200,133.779
Br4Ti1,1100,133.779
Br4Ti1,1000,133.779
Br4Ti1,900,133.779
Br4Ti1,800,133.779
Br4Ti1,700,133.779
Br4Ti1,600,133.779
Br4Ti1,500,133.779
Br4Ti1,400,133.779
Br4Ti1,311.4,133.779
Br4Ti1,300,131.815
Br4Ti1,298,131.503
Ba1Br2,298,77.015
Ba1Br2,1400,100.839
Ba1Br2,1300,98.675
Ba1Br2,1200,96.512
Ba1Br2,1130,95.002
Ba1Br2,1100,94.353
Ba1Br2,1000,92.19
Ba1Br2,900,90.027
Ba1Br2,800,87.864
Ba1Br2,700,85.701
Ba1Br2,600,83.542
Ba1Br2,500,81.379
Ba1Br2,400,79.216
Ba1Br2,300,77.053
Be1O4S1,298,85.697
Be1O4S1,2200,200.832
Be1O4S1,2100,200.832
Be1O4S1,2000,200.832
Be1O4S1,1900,200.832
Be1O4S1,1800,200.832
Be1O4S1,1700,200.706
Be1O4S1,1600,200.004
Be1O4S1,1500,198.656
Be1O4S1,1400,196.581
Be1O4S1,1300,193.543
Be1O4S1,1200,189.209
Be1O4S1,1100,183.088
Be1O4S1,1000,174.431
Be1O4S1,900,162.046
Be1O4S1,800,149.787
Be1O4S1,700,137.988
Be1O4S1,600,126.817
Be1O4S1,500,116.357
Be1O4S1,400,103.88
Be1O4S1,300,86.111
Ba1F2,298,72.204
Ba1F2,1900,107.654
Ba1F2,1800,107.654
Ba1F2,1700,107.654
Ba1F2,1641,107.654
Ba1F2,1600,107.654
Ba1F2,1500,107.654
Ba1F2,1480,107.104
Ba1F2,1480,107.654
Ba1F2,1400,114.014
Ba1F2,1300,137.654
Ba1F2,1240,194.914
Ba1F2,1240,194.713
Ba1F2,1200,130.541
Ba1F2,1100,104.182
Ba1F2,1000,94.558
Ba1F2,900,88.701
Ba1F2,800,84.935
Ba1F2,700,82.383
Ba1F2,600,80.333
Ba1F2,500,78.45
Ba1F2,400,75.94
Ba1F2,300,72.304
Ba1I2,298,77.488
Ba1I2,2700,112.968
Ba1I2,2600,112.968
Ba1I2,2500,112.968
Ba1I2,2400,112.968
Ba1I2,2300,112.968
Ba1I2,2200,112.968
Ba1I2,2100,112.968
Ba1I2,2000,112.968
Ba1I2,1900,112.968
Ba1I2,1800,112.968
Ba1I2,1700,112.968
Ba1I2,1600,112.968
Ba1I2,1500,112.968
Ba1I2,1400,112.968
Ba1I2,1300,112.968
Ba1I2,1200,112.968
Ba1I2,1100,112.968
Ba1I2,1000,112.968
Ba1I2,984,91.211
Ba1I2,984,112.968
Ba1I2,900,89.538
Ba1I2,800,87.529
Ba1I2,700,85.521
Ba1I2,600,83.513
Ba1I2,500,81.546
Ba1I2,400,79.538
Ba1I2,300,77.53
Cl2Fe1,1900,89.953
Cl2Fe1,1800,89.907
Cl2Fe1,1700,89.817
Cl2Fe1,1600,89.684
Cl2Fe1,1500,89.507
Cl2Fe1,1400,89.287
Cl2Fe1,1300,88.962
Cl2Fe1,1200,88.554
Cl2Fe1,1100,88.013
Cl2Fe1,1000,87.354
Cl2Fe1,950,86.944
Cl2Fe1,900,86.504
Cl2Fe1,800,85.508
Cl2Fe1,700,84.375
Cl2Fe1,600,83.107
Cl2Fe1,500,81.638
Cl2Fe1,400,79.668
Cl2Fe1,300,76.735
Cl2Fe1,298,76.664
C1K1N1,1900,66.905
C1K1N1,1800,66.865
C1K1N1,1700,66.826
C1K1N1,1600,66.787
C1K1N1,1500,66.747
C1K1N1,1400,66.708
C1K1N1,1300,66.669
C1K1N1,1200,66.629
C1K1N1,1100,66.59
C1K1N1,1000,66.551
C1K1N1,900,66.511
C1K1N1,895,66.509
C1K1N1,800,66.471
C1K1N1,700,66.431
C1K1N1,600,66.392
C1K1N1,500,66.354
C1K1N1,400,66.316
C1K1N1,300,66.383
C1K1N1,298,66.391
Be1H2O2,298,65.701
Be1H2O2,900,110.399
Be1H2O2,800,107.495
Be1H2O2,700,103.956
Be1H2O2,600,99.387
Be1H2O2,500,92.994
Be1H2O2,400,82.902
Be1H2O2,300,66.053
Cs1,900,37.656
Cs1,800,37.635
Cs1,700,37.614
Cs1,600,37.53
Cs1,500,37.196
Cs1,450,36.777
Cs1,400,36.066
Cs1,350,34.84
Cs1,301.55,32.501
Cs1,300,32.355
Cs1,298,32.195
Al1H4Li1,298,86.4
Al1H4Li1,1900,123.763
Al1H4Li1,1800,123.247
Al1H4Li1,1700,122.717
Al1H4Li1,1600,122.173
Al1H4Li1,1500,121.615
Al1H4Li1,1400,121.043
Al1H4Li1,1300,120.416
Al1H4Li1,1200,119.746
Al1H4Li1,1100,118.847
Al1H4Li1,1000,117.78
Al1H4Li1,900,116.2
Al1H4Li1,800,114.223
Al1H4Li1,700,111.294
Al1H4Li1,600,106.901
Al1H4Li1,500,101.253
Al1H4Li1,400,93.722
Al1H4Li1,300,86.944
C1Be2,3400,92.939
C1Be2,3300,92.864
C1Be2,3200,92.786
C1Be2,3100,92.705
C1Be2,3000,92.621
C1Be2,2900,92.534
C1Be2,2800,92.443
C1Be2,2700,92.35
C1Be2,2600,92.253
C1Be2,2500,92.153
C1Be2,2400,92.048
C1Be2,2400,92.048
C1Be2,2300,91.964
C1Be2,2200,91.885
C1Be2,2100,91.797
C1Be2,2000,91.722
C1Be2,1900,91.621
C1Be2,1800,91.349
C1Be2,1700,90.843
C1Be2,1600,90.023
C1Be2,1500,88.881
C1Be2,1400,87.278
C1Be2,1300,85.011
C1Be2,1200,81.797
C1Be2,1100,77.525
C1Be2,1000,73.249
C1Be2,900,68.977
C1Be2,800,64.706
C1Be2,700,60.434
C1Be2,600,51.89
C1Be2,500,49.752
C1Be2,400,47.614
C1Be2,300,43.329
C1Be2,298,43.25
Cr1,2700,68.467
Cr1,2600,66.111
Cr1,2500,63.764
Cr1,2400,61.425
Cr1,2300,59.099
Cr1,2200,56.785
Cr1,2130,55.174
Cr1,2100,54.488
Cr1,2000,52.204
Cr1,1900,49.944
Cr1,1800,47.706
Cr1,1700,45.501
Cr1,1600,43.329
Cr1,1500,41.2
Cr1,1400,39.125
Cr1,1300,37.116
Cr1,1200,35.187
Cr1,1100,33.472
Cr1,1000,31.861
Cr1,900,30.501
Cr1,800,29.434
Cr1,700,28.577
Cr1,600,27.719
Cr1,500,26.631
Cr1,450,25.983
Cr1,400,25.23
Cr1,350,24.393
Cr1,311.5,23.681
Cr1,311.5,23.681
Cr1,300,23.472
Cr1,298,23.434
Cs2O4S1,1400,256.103
Cs2O4S1,1300,240.622
Cs2O4S1,1278,237.233
Cs2O4S1,1200,225.141
Cs2O4S1,1100,209.66
Cs2O4S1,1000,194.179
Cs2O4S1,940,184.891
Cs2O4S1,900,178.699
Cs2O4S1,800,163.218
Cs2O4S1,700,147.737
Cs2O4S1,600,132.256
Cs2O4S1,500,120.081
Cs2O4S1,400,112.131
Cs2O4S1,300,108.784
Cs2O4S1,298,108.7
Cl1Cu1,1400,66.874
Cl1Cu1,1300,66.459
Cl1Cu1,1200,66.011
Cl1Cu1,1100,65.531
Cl1Cu1,1000,65.019
Cl1Cu1,900,64.388
Cl1Cu1,800,63.68
Cl1Cu1,703,62.791
Cl1Cu1,700,62.76
Cl1Cu1,600,61.505
Cl1Cu1,500,59.831
Cl1Cu1,400,56.902
Cl1Cu1,300,48.771
Cl1Cu1,298,48.534
Cu1F2,1900,94.558
Cu1F2,1800,94.558
Cu1F2,1700,94.558
Cu1F2,1600,94.433
Cu1F2,1500,94.224
Cu1F2,1400,93.847
Cu1F2,1300,93.303
Cu1F2,1200,92.55
Cu1F2,1109,91.713
Cu1F2,1100,91.588
Cu1F2,1000,90.374
Cu1F2,900,88.868
Cu1F2,800,87.027
Cu1F2,700,84.81
Cu1F2,600,81.923
Cu1F2,500,77.739
Cu1F2,400,72.383
Cu1F2,300,65.689
Cu1F2,298,65.552
Al2O3,298,79.015
Al2O3,2900,143.511
Al2O3,2800,142.591
Al2O3,2700,141.754
Al2O3,2600,140.959
Al2O3,2500,140.206
Al2O3,2400,139.453
Al2O3,2327,138.934
Al2O3,2300,138.741
Al2O3,2200,138.03
Al2O3,2100,137.319
Al2O3,2000,136.608
Al2O3,1900,135.896
Al2O3,1800,135.143
Al2O3,1700,134.306
Al2O3,1600,133.361
Al2O3,1500,132.29
Al2O3,1400,131.081
Al2O3,1300,129.737
Al2O3,1200,128.252
Al2O3,1100,126.608
Al2O3,1000,124.771
Al2O3,900,122.662
Al2O3,800,120.135
Al2O3,700,116.926
Al2O3,600,112.545
Al2O3,500,106.131
Al2O3,400,96.086
Al2O3,300,79.416
B1N1,298,19.719
B1N1,3400,48.953
B1N1,3300,48.953
B1N1,3200,48.953
B1N1,3100,48.953
B1N1,3000,48.953
